distance & fqf & fdb^full & fdb^normal & fib & fqf & fdb^full & fdb^normal & fib & solvenergy2
9 & 4.2671 & -4.1429 & -3.7418 & -0.0713 &  5.2579 & -5.2146 & -5.2200 & 0.0240 & -313.116078   
10 & 4.3645 & -4.1305 & -3.7783 & -0.0653 & 5.1881 & -5.2597 & -5.1952 & 0.0224 & -313.133342   
11 & 4.4141 & -4.1411 & -3.7998 & -0.0640 & 5.1584 & -5.2721 & -5.1859 & 0.0239 & -313.102532   
12 & 4.4374 & -4.1522 & -3.8118 & -0.0646 & 5.1497 & -5.2779 & -5.1853 & 0.0266 & -313.054599   
13 & 4.4456 & -4.1616 & -3.8178 & -0.0661 & 5.1533 & -5.2824 & -5.1898 & 0.0298 & -313.000884   
14 & 4.4445 & -4.1680 & -3.8189 & -0.0678 & 5.1639 & -5.2870 & -5.1969 & 0.0330 & -312.952139   
15 & 4.4393 & -4.1726 & -3.8176 & -0.0695 & 5.1769 & -5.2912 & -5.2046 & 0.0360 & -312.909106   
16 & 4.4327 & -4.1760 & -3.8150 & -0.0712 & 5.1898 & -5.2951 & -5.2118 & 0.0387 & -312.872623   
17 & 4.4264 & -4.1787 & -3.8122 & -0.0728 & 5.2014 & -5.2983 & -5.2180 & 0.0410 & -312.842437   
18 & 4.4210 & -4.1808 & -3.8095 & -0.0743 & 5.2112 & -5.3010 & -5.2231 & 0.0429 & -312.817791
19 & 4.4166 & -4.1825 & -3.8070 & -0.0756 & 5.2192 & -5.3033 & -5.2272 & 0.0446 & -312.797790
20 & 4.4132 & -4.1839 & -3.8050 & -0.0767 & 5.2257 & -5.3051 & -5.2304 & 0.0459 & -312.781570   
21 & 4.4106 & -4.1849 & -3.8032 & -0.0778 & 5.2309 & -5.3067 & -5.2330 & 0.0471 & -312.768383   
22 & 4.4085 & -4.1858 & -3.8017 & -0.0787 & 5.2350 & -5.3079 & -5.2350 & 0.0480 & -312.757623   
23 & 4.4070 & -4.1865 & -3.8004 & -0.0796 & 5.2384 & -5.3090 & -5.2367 & 0.0488 & -312.748801   
24 & 4.4057 & -4.1870 & -3.7994 & -0.0803 & 5.2411 & -5.3099 & -5.2379 & 0.0495 & -312.741530   
25 & 4.4048 & -4.1874 & -3.7985 & -0.0809 & 5.2434 & -5.3107 & -5.2390 & 0.0501 & -312.735508  
26 & 4.4040 & -4.1877 & -3.7977 & -0.0815 & 5.2452 & -5.3114 & -5.2398 & 0.0505 & -312.730497   
27 & 4.4034 & -4.1880 & -3.7971 & -0.0820 & 5.2467 & -5.3119 & -5.2405 & 0.0509 & -312.726305   
28 & 4.4029 & -4.1882 & -3.7965 & -0.0824 & 5.2480 & -5.3124 & -5.2411 & 0.0513 & -312.722784   
29 & 4.4025 & -4.1883 & -3.7960 & -0.0828 & 5.2490 & -5.3128 & -5.2416 & 0.0515 & -312.719819   
30 & 4.4022 & -4.1884 & -3.7956 & -0.0832 & 5.2499 & -5.3131 & -5.2420 & 0.0518 & -312.717313   
100 & 4.4001 & -4.1885 & -3.7931 & -0.0854 & 5.2549 & -5.3150 & -5.2442 & 0.0532 & -312.702340  
