distance & fqf & fdb^normal & fdb^full & fib & solvenergy2
3 & 2.6805 & -0.7524 & -0.8289 & 0.0153 & -160.39  
4 & 1.4144 & -0.4243 & -0.4381 & 0.0074 & -161.08   
5 & 0.8593 & -0.2621 & -0.2658 & 0.0043 & -161.46   
6 & 0.5662 & -0.1734 & -0.1746 & 0.0027 & -161.71   
7 & 0.3907 & -0.1213 & -0.1218 & 0.0018 & -161.87   
8 & 0.2813 & -0.0876 & -0.0877 & 0.0013 & -161.98   
9 & 0.2083 & -0.0650 & -0.0650 & 0.0010 & -162.07   
10 & 0.1576 & -0.0492 & -0.0492 & 0.0007 & -162.13   
12 & 0.0938 & -0.0299 & -0.0299 & 0.0004 & -162.21   
14 & 0.0597 & -0.0187 & -0.0187 & 0.0003 & -162.27   
16 & 0.0395 & -0.0121 & -0.0121 & 0.0002 & -162.30   
18 & 0.0267 & -0.0080 & -0.0080 & 0.0001 & -162.32   
20 & 0.0184 & -0.0054 & -0.0054 & 0.0001 & -162.34   
100 & -0.0020 & 0.0019 & 0.0019 & -0.0000 & -162.37   
