dist & method3 & method2 & method4 & bindenergy
3 & 1.8669 & 1.9434 & 1.9247 & 3.9612   
4 & 0.9837 & 0.9975 & 0.9880 & 2.5818   
5 & 0.5977 & 0.6015 & 0.5958 & 1.8133   
6 & 0.3943 & 0.3955 & 0.3919 & 1.3304   
7 & 0.2707 & 0.2712 & 0.2686 & 1.0052   
8 & 0.1948 & 0.1950 & 0.1932 & 0.7756   
9 & 0.1442 & 0.1443 & 0.1429 & 0.6082   
10 & 0.1091 & 0.1091 & 0.1081 & 0.4829   
12 & 0.0644 & 0.0643 & 0.0637 & 0.3133   
14 & 0.0413 & 0.0412 & 0.0409 & 0.2091   
16 & 0.0276 & 0.0275 & 0.0273 & 0.1425   
18 & 0.0188 & 0.0188 & 0.0187 & 0.0986   
20 & 0.0130 & 0.0130 & 0.0129 & 0.0691  
100 & -0.0001 & -0.0001 & -0.0001 & 0.0000  
